Date,국고채권  01250-2212(19-7),국고채권  01375-2912(19-8),국고채권  01500-2503(20-1),국고채권  01000-2306(20-3),국고채권  01375-3006(20-4),국고채권  01125-2509(20-6),국고채권  00875-2312(20-8),국고채권  01500-3012(20-9),국고채권  01250-2603(21-1),국고채권  01125-2406(21-4),국고채권  02000-3106(21-5),국고채권  01750-2609(21-7),국고채권  01875-2412(21-10),국고채권  02375-3112(21-11),국고채권  02375-2703(22-1),국고채권  03125-2506(22-4),국고채권  03375-3206(22-5),국고채권  03125-2709(22-8),국고채권  04250-2512(22-13),국고채권  04250-3212(22-14),국고채권  03250-2803(23-1),국고채권  03125-2606(23-4),국고채권  03250-3306(23-5),국고채권  03500-2809(23-6),국고채권  03875-2612(23-10),국고채권  04125-3312(23-11),국고채권  03625-5309(23-7),국고채권  03250-5303(23-2),국고채권  03250-2903(24-1),국고채권  03250-5403(24-2),국고채권  03250-2706(24-4),국고채권  03500-3406(24-5),국고채권  03000-2909(24-7),국고채권  02750-5409(24-8),국고채권  02875-2712(24-12),국고채권  03000-3412(24-13),국고채권  02625-3003(25-3),국고채권  02625-5503(25-2),국고채권  02250-2806(25-4),국고채권  02625-3506(25-5),국고채권  02500-3009(25-8),국고채권  02625-5509(25-7),국고채권  02750-2812(25-10),국고채권  03250-3512(25-11)
2021-01-04,0.867,1.721,1.245,0.951,1.74,1.325,0.955,1.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,0.848,1.682,1.215,0.933,1.701,1.295,0.937,1.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,0.86,1.721,1.239,0.947,1.74,1.322,0.956,1.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,0.865,1.713,1.242,0.951,1.734,1.322,0.967,1.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,0.871,1.714,1.243,0.954,1.734,1.322,0.976,1.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,0.865,1.683,1.22,0.945,1.704,1.297,0.967,1.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,0.873,1.707,1.23,0.95,1.727,1.312,0.976,1.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,0.869,1.701,1.227,0.945,1.723,1.308,0.976,1.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,0.876,1.717,1.242,0.953,1.736,1.325,0.987,1.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,0.865,1.713,1.229,0.939,1.732,1.311,0.97,1.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,0.862,1.692,1.218,0.932,1.713,1.302,0.966,1.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,0.869,1.692,1.217,0.94,1.711,1.297,0.975,1.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,0.87,1.679,1.207,0.941,1.7,1.283,0.976,1.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,0.868,1.679,1.208,0.938,1.701,1.284,0.971,1.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
