Date,KTB_1Y,KTB_2Y,KTB_3Y,KTB_5Y,KTB_10Y,KTB_20Y,KTB_30Y,KTB_50Y,NHB_5Y,MSB_1Y,MSB_2Y,MSB_91D,KEPCO_3Y,KDB_1Y,CORP_AA_3Y,CORP_BBB_3Y,CD_91D,CP_91D
2021-03-02,0.671,,1.021,1.45,1.966,2.075,2.078,2.078,1.571,0.677,0.863,0.497,1.168,0.802,2.054,8.433,0.74,1.0
2021-03-03,0.669,,1.019,1.423,1.951,2.068,2.074,2.074,1.549,0.676,0.86,0.497,1.167,0.801,2.051,8.43,0.74,1.0
2021-03-04,,,,,,,,,,,,,1.03,1.422,0.677,0.867,2.058,0.74
2021-03-05,,,,,,,,,,,,,1.066,1.438,0.677,0.886,2.08,0.74
2021-03-06,,,,,,,,,,,,,1.066,1.438,0.677,0.886,2.08,0.74
2021-03-07,,,,,,,,,,,,,1.066,1.438,0.677,0.886,2.08,0.74
2021-03-08,,,,,,,,,,,,,1.139,1.497,0.698,0.935,2.117,0.74
2021-03-09,,,,,,,,,,,,,1.206,1.592,0.709,0.986,2.159,0.75
2021-03-10,,,,,,,,,,,,,1.182,1.566,0.704,0.953,2.134,0.75
2021-03-11,,,,,,,,,,,,,1.179,1.525,0.7,0.929,2.123,0.75
2021-03-12,,,,,,,,,,,,,1.223,1.596,0.709,0.932,2.149,0.75
2021-03-13,,,,,,,,,,,,,1.223,1.596,0.709,0.932,2.149,0.75
2021-03-14,,,,,,,,,,,,,1.223,1.596,0.709,0.932,2.149,0.75
2021-03-15,,,,,,,,,,,,,1.238,1.621,0.712,0.932,2.153,0.75
2021-03-16,,,,,,,,,,,,,1.177,1.602,0.698,0.881,2.114,0.75
2021-03-17,,,,,,,,,,,,,1.177,1.639,0.689,0.869,2.115,0.75
2021-03-18,,,,,,,,,,,,,1.133,1.63,0.672,0.86,2.083,0.75
2021-03-19,,,,,,,,,,,,,1.146,1.578,0.673,0.879,2.092,0.75
2021-03-20,,,,,,,,,,,,,1.146,1.578,0.673,0.879,2.092,0.75
2021-03-21,,,,,,,,,,,,,1.146,1.578,0.673,0.879,2.092,0.75
2021-03-22,,,,,,,,,,,,,1.13,1.615,0.664,0.886,2.079,0.75
2021-03-23,,,,,,,,,,,,,1.132,1.586,0.662,0.904,2.076,0.75
2021-03-24,,,,,,,,,,,,,1.115,1.537,0.659,0.91,2.059,0.75
2021-03-25,,,,,,,,,,,,,1.089,1.509,0.659,0.909,2.045,0.75
2021-03-26,,,,,,,,,,,,,1.117,1.532,0.664,0.916,2.059,0.75
2021-03-27,,,,,,,,,,,,,1.117,1.532,0.664,0.916,2.059,0.75
2021-03-28,,,,,,,,,,,,,1.117,1.532,0.664,0.916,2.059,0.75
2021-03-29,,,,,,,,,,,,,1.119,1.53,0.664,0.919,2.059,0.75
2021-03-30,,,,,,,,,,,,,1.155,1.607,0.669,0.928,2.078,0.75
2021-03-31,,,,,,,,,,,,,1.133,1.601,0.667,0.912,2.06,0.75
2021-04-01,,,,,,,,,,,,,1.138,1.58,0.669,0.899,2.063,0.75
2021-04-02,,,,,,,,,,,,,1.151,1.575,0.667,0.896,2.067,0.75
2021-04-03,,,,,,,,,,,,,1.151,1.575,0.667,0.896,2.067,0.75
2021-04-04,,,,,,,,,,,,,1.151,1.575,0.667,0.896,2.067,0.75
2021-04-05,,,,,,,,,,,,,1.202,1.636,0.673,0.922,2.095,0.75
2021-04-06,,,,,,,,,,,,,1.181,1.606,0.664,0.902,2.078,0.75
2021-04-07,,,,,,,,,,,,,1.181,1.584,0.663,0.902,2.073,0.75
2021-04-08,,,,,,,,,,,,,1.152,1.543,0.661,0.902,2.051,0.75
2021-04-09,,,,,,,,,,,,,1.168,1.578,0.663,0.915,2.056,0.75
2021-04-10,,,,,,,,,,,,,1.168,1.578,0.663,0.915,2.056,0.75
2021-04-11,,,,,,,,,,,,,1.168,1.578,0.663,0.915,2.056,0.75
2021-04-12,,,,,,,,,,,,,1.14,1.55,0.659,0.906,2.031,0.75
2021-04-13,,,,,,,,,,,,,1.138,1.562,0.66,0.911,2.029,0.73
2021-04-14,,,,,,,,,,,,,1.102,1.524,0.654,0.895,2.003,0.73
2021-04-15,,,,,,,,,,,,,1.147,1.57,0.666,0.92,2.027,0.73
2021-04-16,,,,,,,,,,,,,1.154,1.582,0.665,0.927,2.029,0.73
2021-04-17,,,,,,,,,,,,,1.154,1.582,0.665,0.927,2.029,0.73
2021-04-18,,,,,,,,,,,,,1.154,1.582,0.665,0.927,2.029,0.73
2021-04-19,,,,,,,,,,,,,1.129,1.548,0.661,0.914,1.914,0.73
2021-04-20,,,,,,,,,,,,,1.134,1.568,0.661,0.912,1.918,0.73
2021-04-21,,,,,,,,,,,,,1.11,1.554,0.656,0.891,1.899,0.73
2021-04-22,,,,,,,,,,,,,1.105,1.544,0.654,0.89,1.896,0.73
2021-04-23,,,,,,,,,,,,,1.12,1.573,0.659,0.901,1.907,0.73
2021-04-24,,,,,,,,,,,,,1.12,1.573,0.659,0.901,1.907,0.73
2021-04-25,,,,,,,,,,,,,1.12,1.573,0.659,0.901,1.907,0.73
2021-04-26,,,,,,,,,,,,,1.119,1.602,0.652,0.901,1.903,0.73
2021-04-27,,,,,,,,,,,,,1.097,1.584,0.652,0.894,1.885,0.73
2021-04-28,,,,,,,,,,,,,1.105,1.604,0.653,0.907,1.89,0.73
2021-04-29,,,,,,,,,,,,,1.121,1.601,0.652,0.912,1.9,0.73
2021-04-30,,,,,,,,,,,,,1.141,1.63,0.655,0.919,1.914,0.73
2021-05-01,,,,,,,,,,,,,1.141,1.63,0.655,0.919,1.914,0.73
2021-05-02,,,,,,,,,,,,,1.141,1.63,0.655,0.919,1.914,0.73
2021-05-03,,,,,,,,,,,,,1.149,1.636,0.663,0.92,1.917,0.73
2021-05-04,,,,,,,,,,,,,1.158,1.643,0.661,0.921,1.92,0.73
2021-05-05,,,,,,,,,,,,,1.158,1.643,0.661,0.921,1.92,0.73
2021-05-06,,,,,,,,,,,,,1.14,1.629,0.651,0.913,1.9,0.73
2021-05-07,,,,,,,,,,,,,1.137,1.643,0.653,0.921,1.9,0.72
2021-05-08,,,,,,,,,,,,,1.137,1.643,0.653,0.921,1.9,0.72
2021-05-09,,,,,,,,,,,,,1.137,1.643,0.653,0.921,1.9,0.72
2021-05-10,,,,,,,,,,,,,1.136,1.635,0.646,0.919,1.899,0.71
2021-05-11,,,,,,,,,,,,,1.128,1.627,0.635,0.913,1.892,0.69
2021-05-12,,,,,,,,,,,,,1.121,1.625,0.631,0.916,1.888,0.69
2021-05-13,,,,,,,,,,,,,1.123,1.651,0.631,0.92,1.888,0.67
2021-05-14,,,,,,,,,,,,,1.116,1.651,0.629,0.918,1.882,0.67
2021-05-15,,,,,,,,,,,,,1.116,1.651,0.629,0.918,1.882,0.67
2021-05-16,,,,,,,,,,,,,1.116,1.651,0.629,0.918,1.882,0.67
2021-05-17,,,,,,,,,,,,,1.107,1.624,0.617,0.915,1.872,0.67
2021-05-18,,,,,,,,,,,,,1.099,1.625,0.618,0.91,1.865,0.67
